id,time,lng,lat,district,subway,price_per_square,total_price,year,month
BJCY89392540,2015-10-13,116.494021,39.900148,7,1.0,52780,450.0,2015,2015-10
BJCP88207197,2014-10-14,116.367231,40.088456,6,1.0,26797,249.5,2014,2014-10
BJHD89655112,2015-11-08,116.316963,40.056306,8,1.0,37335,256.0,2015,2015-11
101102250020,2018-01-20,116.195177,39.932325,9,0.0,42261,255.0,2018,2018-01
BJTJ88886458,2015-03-23,116.688527,39.899168,11,0.0,23380,101.0,2015,2015-03
101100844560,2017-02-25,116.388786,39.857338,2,1.0,58919,365.0,2017,2017-02
101101236464,2017-03-01,116.418213,40.065487,6,1.0,49036,484.0,2017,2017-03
BJCY91543238,2016-02-29,116.588913,39.922146,7,0.0,29346,195.0,2016,2016-02
BJHD89234461,2015-11-20,116.288489,39.928841,8,0.0,44182,243.0,2015,2015-11
101101420329,2017-08-16,116.365602,40.094493,6,1.0,39740,500.0,2017,2017-08
BJFT92283053,2016-06-04,116.37785,39.842419,2,1.0,32184,112.0,2016,2016-06
101100460954,2016-08-21,116.353434,39.940291,10,1.0,88448,490.0,2016,2016-08
BJXC88814584,2015-01-24,116.37324,39.902671,10,1.0,51918,293.8,2015,2015-01
BJSY89947201,2015-11-22,116.673595,40.124882,13,0.0,21308,183.5,2015,2015-11
BJDX89059692,2015-06-06,116.341599,39.726005,4,1.0,18912,147.0,2015,2015-06
BJCY91339730,2016-01-16,116.447031,39.911554,7,1.0,41960,388.0,2016,2016-01
BJCP91332978,2016-01-09,116.416156,40.082585,6,1.0,21882,211.0,2016,2016-01
BJFT91348860,2016-02-23,116.44046,39.86065,2,0.0,33527,260.0,2016,2016-02
BJSJ88932715,2015-06-23,116.233381,39.896656,9,0.0,36373,223.0,2015,2015-06
101100254916,2016-07-27,116.320453,40.039032,8,1.0,75317,880.0,2016,2016-07
101101678961,2017-09-10,116.648422,40.137571,13,1.0,35086,264.0,2017,2017-09
BJXC90425808,2015-09-23,116.399018,39.978141,10,1.0,77547,708.0,2015,2015-09
BJCY89768251,2016-01-12,116.47638,39.875691,7,1.0,34687,459.0,2016,2016-01
101101883311,2017-08-07,116.323633,40.084686,6,0.0,53121,343.0,2017,2017-08
101101016876,2017-02-07,116.441833,39.866749,2,1.0,69227,379.5,2017,2017-02
BJXC89416700,2015-08-03,116.333824,39.889469,10,1.0,39474,210.0,2015,2015-08
101092000933,2016-09-18,116.373416,39.916216,10,1.0,135468,825.0,2016,2016-09
BJCY92309627,2016-06-06,116.416117,39.999631,7,0.0,59078,389.5,2016,2016-06
101100928307,2017-02-12,116.265774,40.170928,6,0.0,52246,185.0,2017,2017-02
BJHD85664625,2013-04-20,116.320453,40.039032,8,1.0,72116,323.8,2013,2013-04
101091727310,2016-06-19,116.464926,39.88896,7,1.0,43794,254.0,2016,2016-06
BJCY91145818,2016-01-21,116.374132,40.022733,7,0.0,70809,1167.0,2016,2016-01
BJDX90980221,2015-12-13,116.31681,39.768231,4,0.0,44334,203.8,2015,2015-12
101100274014,2016-07-24,116.468185,40.006897,7,0.0,67499,292.0,2016,2016-07
BJFT88131700,2014-09-13,116.34581,39.86288,2,0.0,36537,322.0,2014,2014-09
BJDC87071688,2014-03-11,116.434565,39.919951,1,1.0,51253,219.0,2014,2014-03
BJDX91833452,2016-05-01,116.350909,39.745849,4,0.0,35875,192.0,2016,2016-05
